age,freq
"[0,5)",2951489
"[5,10)",3025007
"[10,15)",2705285
"[15,20)",2809150
"[20,25)",3689026
"[25,30)",4842431
"[30,35)",6138589
"[35,40)",5108402
"[40,45)",4886328
"[45,50)",5669138
"[50,55)",5809583
"[55,60)",4860476
"[60,65)",3506335
"[65,100)",8566349
